commandDescription,	timestamp
Loaded cashiers,	28:05:2020 01:58:38
Loaded registers,	28:05:2020 01:58:38
Loaded product categories,	01:58:2020 01:58:38
Loaded products,	28:05:2020 01:58:38
Loaded coupons,	28:05:2020 01:58:38
Loaded receipts,	28:05:2020 01:58:38
Loaded sold products,	28:05:2020 01:58:38
Requested cashiers,	28:05:2020 01:58:38
Requested registers,	28:05:2020 01:58:38
Requested product categories,	28:05:2020 01:58:38
Requested products, 28:05:2020 01:58:38
Requested coupons,	28:05:2020 01:58:38
Requested receipts,	28:05:2020 01:58:38
Requested sold products,	28:05:2020 01:58:38
Requested cashiers,	28:05:2020 01:58:38
Saved cashiers,	28:05:2020 01:58:38
Requested registers,	28:05:2020 01:58:38
Saved registers,	28:05:2020 01:58:38
Requested product categories,	28:05:2020 01:58:38
Saved product categories,	28:05:2020 01:58:38
Requested products,	28:05:2020 01:58:38
Saved products,	28:05:2020 01:58:38
Requested coupons,	28:05:2020 01:58:38
Saved coupons,	28:05:2020 01:58:38
Requested receipts,	28:05:2020 01:58:38
Saved receipts,	28:05:2020 01:58:38
Requested sold products,	28:05:2020 01:58:38
Saved sold products,	28:05:2020 01:58:38Loaded cashiers,28:05:2020 02:43:15
Loaded registers,28:05:2020 02:43:15
Loaded product categories,28:05:2020 02:43:15
Loaded cashiers,28:05:2020 02:43:55
Loaded registers,28:05:2020 02:43:55
Loaded product categories,28:05:2020 02:43:55
Loaded cashiers,28:05:2020 02:45:17
Loaded registers,28:05:2020 02:45:17
Loaded product categories,28:05:2020 02:45:17
Loaded cashiers,28:05:2020 02:46:35
Loaded registers,28:05:2020 02:46:35
Loaded product categories,28:05:2020 02:46:35
Loaded cashiers,28:05:2020 02:46:45
Loaded registers,28:05:2020 02:46:45
Loaded product categories,28:05:2020 02:46:45
Loaded cashiers,28:05:2020 02:49:09
Loaded registers,28:05:2020 02:49:09
Loaded product categories,28:05:2020 02:49:09
Loaded cashiers,28:05:2020 02:49:20
Loaded registers,28:05:2020 02:49:20
Loaded product categories,28:05:2020 02:49:20
Loaded cashiers,28:05:2020 02:54:24
Loaded registers,28:05:2020 02:54:24
Loaded product categories,28:05:2020 02:54:24
Loaded cashiers,28:05:2020 02:54:35
Loaded registers,28:05:2020 02:54:35
Loaded product categories,28:05:2020 02:54:35
Loaded cashiers,28:05:2020 02:54:38
Loaded registers,28:05:2020 02:54:38
Loaded product categories,28:05:2020 02:54:38
Loaded cashiers,28:05:2020 02:56:41
Loaded registers,28:05:2020 02:56:41
Loaded product categories,28:05:2020 02:56:41
Loaded cashiers,28:05:2020 02:56:46
Loaded registers,28:05:2020 02:56:46
Loaded product categories,28:05:2020 02:56:46
Loaded cashiers,28:05:2020 02:57:15
Loaded registers,28:05:2020 02:57:15
Loaded product categories,28:05:2020 02:57:15
Loaded cashiers,28:05:2020 02:57:31
Loaded registers,28:05:2020 02:57:31
Loaded product categories,28:05:2020 02:57:31
Loaded cashiers,28:05:2020 03:02:32
Loaded registers,28:05:2020 03:02:32
Loaded product categories,28:05:2020 03:02:32
Loaded cashiers,28:05:2020 03:03:41
Loaded registers,28:05:2020 03:03:41
Loaded product categories,28:05:2020 03:03:41
Loaded cashiers,28:05:2020 03:03:52
Loaded registers,28:05:2020 03:03:52
Loaded product categories,28:05:2020 03:03:52
Loaded cashiers,28:05:2020 03:07:37
Loaded registers,28:05:2020 03:07:37
Loaded product categories,28:05:2020 03:07:37
Loaded cashiers,28:05:2020 03:08:55
Loaded registers,28:05:2020 03:08:55
Loaded product categories,28:05:2020 03:08:55
Loaded cashiers,28:05:2020 03:09:12
Loaded registers,28:05:2020 03:09:12
Loaded product categories,28:05:2020 03:09:12
Loaded cashiers,28:05:2020 03:12:10
Loaded registers,28:05:2020 03:12:10
Loaded product categories,28:05:2020 03:12:10
Loaded cashiers,28:05:2020 03:15:53
Loaded registers,28:05:2020 03:15:53
Loaded product categories,28:05:2020 03:15:53
Loaded cashiers,28:05:2020 03:29:05
Loaded registers,28:05:2020 03:29:05
Loaded product categories,28:05:2020 03:29:05
Loaded products,28:05:2020 03:29:05
Loaded coupons,28:05:2020 03:29:05
Loaded cashiers,28:05:2020 03:29:09
Loaded registers,28:05:2020 03:29:09
Loaded product categories,28:05:2020 03:29:09
Loaded products,28:05:2020 03:29:09
Loaded coupons,28:05:2020 03:29:09
Loaded cashiers,28:05:2020 03:29:15
Loaded registers,28:05:2020 03:29:15
Loaded product categories,28:05:2020 03:29:15
Loaded products,28:05:2020 03:29:15
Loaded coupons,28:05:2020 03:29:15
Loaded cashiers,28:05:2020 03:33:32
Loaded registers,28:05:2020 03:33:32
Loaded product categories,28:05:2020 03:33:32
Loaded products,28:05:2020 03:33:32
Loaded coupons,28:05:2020 03:33:32
Loaded cashiers,28:05:2020 03:38:21
Loaded registers,28:05:2020 03:38:21
Loaded product categories,28:05:2020 03:38:21
Loaded products,28:05:2020 03:38:21
Loaded coupons,28:05:2020 03:38:21
Loaded cashiers,28:05:2020 03:43:39
Loaded registers,28:05:2020 03:43:39
Loaded product categories,28:05:2020 03:43:39
Loaded products,28:05:2020 03:43:39
Loaded coupons,28:05:2020 03:43:39
Loaded cashiers,28:05:2020 03:43:59
Loaded registers,28:05:2020 03:43:59
Loaded product categories,28:05:2020 03:43:59
Loaded products,28:05:2020 03:43:59
Loaded coupons,28:05:2020 03:43:59
Loaded cashiers,28:05:2020 03:44:03
Loaded registers,28:05:2020 03:44:03
Loaded product categories,28:05:2020 03:44:03
Loaded products,28:05:2020 03:44:03
Loaded coupons,28:05:2020 03:44:03
Loaded cashiers,28:05:2020 03:47:14
Loaded registers,28:05:2020 03:47:14
Loaded product categories,28:05:2020 03:47:14
Loaded products,28:05:2020 03:47:14
Loaded coupons,28:05:2020 03:47:14
Loaded cashiers,28:05:2020 03:49:58
Loaded registers,28:05:2020 03:49:58
Loaded product categories,28:05:2020 03:49:58
Loaded products,28:05:2020 03:49:58
Loaded coupons,28:05:2020 03:49:58
